,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-MM,IPSL-CM6A-LR
2025-11-15,8.36733,10.566572,8.652285,6.5937233,5.140317,7.677444,6.8020797,8.27849,9.995496,7.8306737
2025-12-15,11.027612,12.426222,10.919625,9.223363,8.692526,9.88824,8.899696,10.592122,11.569433,10.846103
2026-01-15,12.956011,14.231145,12.8847065,11.160945,11.497225,12.092598,10.570888,12.379816,13.707325,12.826345
2026-02-15,14.274984,15.377272,13.725767,12.523475,12.410931,13.103172,12.021278,13.042553,14.118722,13.814389
2026-03-15,14.558838,15.983498,14.001175,12.946201,12.604559,13.3220625,12.503179,13.122955,13.951756,13.897499
2026-04-15,14.228097,15.23459,13.423625,12.464728,12.04331,12.920189,12.142321,12.542612,13.107489,13.03339
2026-05-15,12.480674,13.099369,11.938014,10.961486,10.733183,11.320188,10.721955,10.647936,11.607364,11.090691
2026-06-15,9.8548975,10.297,9.784253,8.728448,7.9469676,9.208834,7.5923433,8.379697,9.768871,8.300518
2026-07-15,5.8795815,7.8872824,6.605196,6.141375,5.5012164,6.005027,4.787131,6.448609,7.605638,5.4634533
2026-08-15,2.4508803,6.2376523,3.4507103,4.2037525,3.0903454,2.4754138,3.018497,5.1514397,5.586608,1.980889
2026-09-15,1.7352701,5.7102056,2.408893,3.670611,2.2397635,1.6472028,2.7107131,4.8903704,5.4228806,1.3428265
2026-10-15,4.2384467,7.484394,4.6016707,4.3680105,3.7029479,4.1808567,4.534751,6.1649475,8.222137,3.441343
2026-11-15,8.095822,10.288354,8.539374,5.5873165,6.3793273,7.411485,7.3400793,8.489646,10.60942,7.4511576
2026-12-15,10.863751,12.39361,11.073652,8.414234,9.15467,10.330871,9.441423,10.715343,12.246536,10.334693
2027-01-15,12.699745,14.399738,12.826471,10.986741,11.504374,12.329463,11.031599,12.298599,13.554663,12.528138
2027-02-15,13.699866,15.5887985,13.645597,12.422694,12.283826,12.934456,12.374957,13.197603,14.239107,13.397403
2027-03-15,14.107841,15.982596,13.92438,12.816643,12.608699,13.241298,12.318966,13.454766,14.136974,13.728365
2027-04-15,13.699668,15.190298,13.365591,12.464173,12.098782,12.642084,11.61486,12.730584,13.592378,12.919333
2027-05-15,12.189305,12.973178,11.795849,10.995264,10.598031,11.006969,10.2287445,11.035639,11.978533,11.092361
2027-06-15,9.936144,10.120111,9.549505,8.853105,7.6856155,8.864522,7.7556853,8.90375,9.943858,8.202344
2027-07-15,5.3308377,7.444734,6.006169,6.568019,4.700066,5.065513,4.810478,6.485438,7.5723886,4.889839
2027-08-15,1.7794088,5.8036046,3.076209,4.4801474,2.3696206,1.5823346,2.951191,4.9322424,5.78487,2.241504
2027-09-15,1.0149689,5.5439396,2.4439409,3.7025456,1.179819,0.97619385,2.6662889,4.5451345,5.5029182,1.7490691
2027-10-15,4.1973867,7.129649,5.2126255,4.860103,3.0658,2.8644848,4.30086,5.7663345,7.903861,3.6414773
2027-11-15,8.001322,10.005463,8.3615265,6.860542,5.456758,6.6532097,6.78271,8.067238,10.304294,6.6728196
2027-12-15,10.301569,11.958406,11.128086,9.482931,8.7893095,10.063154,9.1418495,9.981762,12.141665,10.268751
2028-01-15,12.307815,13.747753,12.910332,11.283388,10.814049,12.305482,11.148866,11.762539,13.676261,12.322228
2028-02-15,14.096098,15.061129,13.450176,12.545384,11.82948,12.996958,12.131964,13.231452,14.287373,13.400077
2028-03-15,14.509807,15.649843,13.765903,12.951093,12.272702,12.887664,12.4259,13.599514,14.312463,13.398913
2028-04-15,14.107102,14.693275,13.4241905,12.628938,11.752276,12.313097,11.793856,12.850895,13.618033,12.619533
2028-05-15,12.297864,12.7163925,11.829533,11.120581,10.186244,10.76853,10.2283745,11.072419,12.099516,10.922734
2028-06-15,9.605816,10.135353,9.549122,8.877334,7.2087517,8.556262,7.682847,8.900336,9.959928,7.819509
2028-07-15,5.4500923,8.1718025,6.8391337,6.1236095,4.153602,4.7810597,4.735306,6.0601234,7.7998834,4.2160163
2028-08-15,1.9772395,6.632161,3.4113014,3.9070656,1.4983226,1.3353138,2.819036,4.1870966,5.8028107,1.4322343
2028-09-15,1.150116,6.4340453,2.1847374,3.186596,0.6922126,0.5878789,2.462677,3.9483924,5.0746336,1.095151
2028-10-15,4.2247696,8.224626,5.6307387,4.7118826,1.6873251,2.2604704,4.132586,4.972924,7.7981462,2.5058558
2028-11-15,8.751342,10.350624,8.927615,6.5027595,4.979809,6.4432144,7.3892846,7.5338984,10.736569,5.7033
2028-12-15,11.405504,12.090297,10.792022,9.523662,8.262355,9.089716,9.841754,10.270773,12.4742565,9.762792
2029-01-15,12.647541,14.277272,12.55148,11.315349,11.093763,11.501324,11.306714,12.182317,13.916924,12.452242
2029-02-15,14.049491,15.228958,13.524451,12.738539,12.094486,12.7690115,12.32718,13.426611,14.243289,13.706814
2029-03-15,14.547459,15.62675,13.928256,13.046331,12.425648,13.082164,12.578066,13.564802,14.277065,14.046399
2029-04-15,14.261947,14.795256,13.40656,12.581086,12.0290165,12.678809,11.901395,12.758055,13.534132,13.085858
